name,brand,sku,category,revenue,momentum,claims,ingredients
Chromium Picolinate 200,GNC,DSLD-1020,Immunity,3692352,7.3,ACTUAL SIZE All mineral amounts shown are elemental. Licensed under US Patent Nos. 5087623; 5087624 and 5175156. supports glucose utilization,Chromium
Alpha Lipoic Acid 300,GNC,DSLD-1021,Immunity,4192675,1.4,50% Smaller ACTUAL SIZE Conforms to USP <2091> for weight. Lot No./Best By: Made in the USA Meets USP <2040> disintegration. Potency verified by GNC procedure #5275. supports antioxidant regeneration,Alpha-Lipoic Acid
Calcimate Plus 800,GNC,DSLD-1022,Immunity,4328652,4.0,ACTUAL SIZE All mineral amounts shown are elemental. Calcium is essential for building healthy bones. Calcimate Plus(TM) 800 features patented Calcium Citrate Malate (CCM) one of the most absorbable and effective forms of calcium. CCM helps maintain and improve bone density. Enhanced with magnesium and vitamin D required during the growth and development of bones to help acheive and maintain peak bone density. Conforms to USP <2091> for weight. helps improve bone density highly absorbable calcium with 800 IU vitamin D and magnesium Made in the USA Meets USP <2040> disintegration. Potency verified by GNC #4000.,Vitamin D; Calcium; Magnesium
TriFlex Liquid Orange Flavor,GNC,DSLD-1023,Immunity,1695730,4.5,B6879701 Helps rebuild cartilage Lot No./Best By: Made in the USA Orange Flavor Natural & Artificial Promotes joint mobility & flexibility,Calories; Total Carbohydrates; Protein; Sodium; Glucosamine HCl; Chondroitin Sulfate; Methylsulfonyl-methane
Fish Oil,GNC Triple Strength,DSLD-1024,Immunity,1994041,1.9,Consumption of omega-3 fatty acids may reduce the risk of coronary heart disease. FDA evaluated the data and determined that although there is scientific evidence supporting the claim the evidence is not conclusive. A landmark study involving over 11000 participants has confirmed the major benefits of fish oil on cardiovascular health. The omega-3 fatty acids found in fish oil are necessary for heart health. They help support normal healthy cholesterol levels and are necessary in the maintenance of normal blood pressure. Individually EPA is important for circulatory system health and DHA provides support for healthy triglyceride levels. ACTUAL SIZE Conforms to USP <2091> for weight. Controls fishy burps^ Enteric Coated Fish oils naturally provide the heart-healthy omega-3 fatty acids EPA (Eicosapentaenoic Acid) and DHA (Docosahexaenoic Acid). One enteric coated softgel capsule features a total of 900 mg of omega-3 fatty acids; 647 mg of EPA and 253 mg of DHA three times the strength of GNC's regular Fish Oil. ^The enteric coating allows the softgel capsule to break down and absorb in the small intestine. This controls or reduces the fishy burps. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend our quality commitment to you by offering our money-back guarantee. GNC Triple Strength Fish Oil has been purified and manufactured for freshness and found to be free of detectable levels of mercury cadmium lead and PCBs. We use only the best quality ingredients derived from wild deep ocean fish. Helps maintain healthy cholesterol and blood pressure In addition to the numerous heart health benefits fish oil also:; Supports joint and skin health; Supports the body’s natural anti-inflammatory response; Supplies DHA which is required for optimal eye and brain function May reduce the risk of coronary heart disease Please recycle this box. Potency verified by GNC procedure #5123. Promotes joint brain and skin health Purified This product is regularly tested (using AOAC international protocols) for potency and purity by an independent FDA-registered laboratory and found to be free of detectable levels of mercury cadmium lead and PCBs.,Calories; Calories from Fat; Total Fat; Eicosapentaenoic Acid; Docosahexaenoic Acid
Vitamin D-3 1000,GNC,DSLD-1025,Immunity,2605907,4.9,Made in the USAActual size Essential for calcium absorption and strong bones 1000 IU Potency verified by GNC procedure #5004. Conforms to USP <2091> for weight. Meets USP <2040> disintegration.,Vitamin D
Biotin 5000,GNC,DSLD-1026,Beauty From Within,2256478,4.9,ACTUAL SIZE Conforms to USP <2091> for weight. high potency Lot No./Best By: Made in the USA Meets USP <2040> disintegration. Potency verified by GNC procedure #5003. supports healthy hair skin and nails,Biotin
Ultra Zinc Lozenges Orange Flavor,GNC,DSLD-1027,Immunity,2962016,9.2,ACTUAL SIZE All mineral amounts shown are elemental. Conforms to USP <2091> for weight. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Made in the USA Orange Flavor Natural Flavor Potencies verified by GNC procedure #5015. Supports a healthy immune system Supports natural resistance,Calories; Total Carbohydrates; Sugar; Vitamin A; Vitamin C; Zinc; Copper; Echinacea purpurea Herb Powder
Vitamin D-3 2000,GNC,DSLD-1028,Immunity,3262783,5.3,ACTUAL SIZE Conforms to USP <2091> for weight. essential for calcium absorption and strong bones Lot No./Best By: Made in the USA Meets USP <2040> disintegration. Potency verified by GNC procedure #5004.,Vitamin D
Melatonin 5,GNC,DSLD-1029,Sleep & Relaxation,1964818,7.2,ACTUAL SIZE Conforms to USP <2091> for weight. Lot No./Best By: Made in the USA Meets USP <2040> disintegration. Potency verified by GNC procedure #5008. supports restful sleep,Melatonin
Folic Acid 1000 mcg,GNC,DSLD-1030,Immunity,2091821,7.5,ACTUAL SIZE Adequate folate in a healthy diet may reduce a woman's risk of having a child with a brain or spinal cord defect. Folate intake should not exceed 250% of the DV (1000 mcg). Lot No./Best By: Made in the USA support for healthy cardiovascular system,Folic Acid
Ultra Iron 65,GNC,DSLD-1031,Immunity,2067056,7.5,ACTUAL SIZE Conforms to USP <2091> for weight. Essential for healthy red blood cell formation High potency Involved in energy utilization Iron is a vital nutrient that plays an essential role in forming healthy red blood cells and transporting oxygen. It is also involved in energy utilization and muscle function. GNC Ultra Iron 65 is a high potency formula that provides 65 mg of elemental iron. Made in the USA Meets USP <2091> for weight. Potency verified by GNC procedure #4000.,Iron
L-Arginine 1000,GNC,DSLD-1032,Immunity,1283930,7.2,ACTUAL SIZE Conforms to USP <2091> for weight. essential precursor of nitric oxide Lot No./Best By: Meets USP <2040> for disintegration. Potency verified by GNC procedure #5115. The amino acid arginine has several roles in the body such as helping remove ammonia from the body which is a waste product of protein methabolism. Arginine is also an essential precursor of nitric oxide which helps maintain blood vessel tone.,L-Arginine
B-Complex 75 Complete,GNC,DSLD-1033,Beauty From Within,3729360,6.9,Disintegrates over 5 hours for timed-release benefit. Lot No./Best By: Made in the USA supports energy production TIMED RELEASE,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Iron; Selenium; Copper; Chromium; Citrus Bioflavonoids Complex; Goldenseal herb powder; Panax ginseng root extract; Guarana Seed Extract; Valerian root powder; Licorice root powder
Ultra Mega Gold Without Iron,GNC Multivitamin,DSLD-1034,Beauty From Within,3712766,9.3,Conforms to USP <2091> for weight. Disintegrates over five hours for timed-release benefit. Made in the USA Nutrient-dense multivitamin mineral and antioxidant formula designed to support:; Energy Production; Heart Health; Eye Health; Healthy Digestion Potencies verified by GNC procedure #5015. TIMED RELEASE,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Choline; Alpha-Lipoic Acid; Inositol; Amylase; Green Tea leaf extract; Citrus Bioflavonoids Complex; Hesperidin Complex; Quercetin; Rutin powder; Cellulase; Lipase; Protease; Boron; Lutein; Lycopene; Tocotrienol Complex
Chewable Calcium Plus 600 With Vitamin D-3,GNC,DSLD-1035,Immunity,691654,4.0,Adequate calcium and vitamin D in a healthy diet throughout life may reduce the risk of osteoporosis. ACTUAL SIZE All mineral amounts shown are elemental. Conforms to USP <2091> for weight. Lot No./Best By: may reduce the risk of osteoporosis improves bone density vitamin D-3 for calcium absorption great-tasting Natural CHERRY FLAVOR Potencies verified by GNC procedure #4000.,Calories; Total Carbohydrates; Sugar; Vitamin D; Calcium
Ultra Mega Gold,GNC Multivitamin,DSLD-1036,Beauty From Within,2084581,6.8,Made in the USA Nutrient-dense multivitamin mineral and antioxidant formula designed to support; Energy Production; Heart Health; Eye Health; Healthy Digestion TIMED RELEASE,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Choline; Alpha-Lipoic Acid; Inositol; Amylase; Green Tea leaf extract; Citrus Bioflavonoids Complex; Hesperidin Complex; Quercetin; Rutin powder; Cellulase; Lipase; Protease; Boron; Lutein; Lycopene; Tocotrienol Complex
Phosphatidyl Serine 300 mg,GNC,DSLD-1037,Immunity,1610947,9.9,ACTUAL SIZE Conforms to USP <2091> for weight. helps support memory function Lot No./Best By: Made in the USA Meets USP <2040> disintegration.,Phosphatidyl Serine
Ultra Mega,GNC Multivitamin,DSLD-1038,Beauty From Within,4021279,6.6,Made in the USA TIMED RELEASE,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Potassium; Choline; Rutin powder; Alpha-Lipoic Acid; Green Tea leaf extract; Citrus Bioflavonoids Complex; Quercetin; Hesperidin Complex; Boron; N-Acetyl-L-Cysteine; Lutein; Lycopene; Inositol
Ultra Mega,GNC Multivitamin,DSLD-1039,Beauty From Within,2683801,8.8,Conforms to USP <2091> for weight. Disintegrates over five hours for timed-release benefit. Made in the USA Potencies verified by GNC procedure #5015. TIMED RELEASE,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Selenium; Copper; Manganese; Chromium; Molybdenum; Potassium; Choline; Rutin powder; Alpha-Lipoic Acid; Green Tea leaf extract; Citrus Bioflavonoids Complex; Quercetin; Hesperidin Complex; Boron; N-Acetyl-L-Cysteine; Lutein; Lycopene; Inositol
Prenatal Formula without Iron,GNC,DSLD-1040,Beauty From Within,710451,8.3,ACTUAL SIZE Antioxidants to support immune health Calcium & Bone Health; Features 600 mg of bone-strengthening calcium which is vital during pregnancy especially during the third trimester when fetal bones begin to calcify. If a mother's calcium level drops her body can pull calcium from her bones resulting in loss of bone density. Also includes 400 IU of vitamin D-3 to enhance calcium absorption. Conforms to USP <2091> for weight. Folic Acid; Provides 1000 mcg of folic acid critical during the earliest weeks of pregnancy when a baby’s organs are forming. Adequate intake of folic acid in a healthy diet before and during early pregnancy may reduce the risk of birth defects of the brain and spinal cord. Folic acid is also required for cell growth and DNA formation. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Meets USP <2040> disintegration. Nutritional Support; Supplies a balanced nutritional blend combining vitamins minerals and antioxidants to supplement a healthy diet. Emerging research suggests that antioxidants can help protect the body from harmful free radicals that can destroy healthy cells. Please recycle this box.,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iodine; Magnesium; Zinc; Copper; Selenium; Manganese; Chromium; Molybdenum; Boron; Choline
Prenatal Formula with Iron,GNC,DSLD-1041,Beauty From Within,789725,9.0,ACTUAL SIZE Antioxidants to support immune health Calcium & Bone Health; Features 600 mg of bone-strengthening calcium which is vital during pregnancy especially during the third trimester when fetal bones begin to calcify. If a mother's calcium level drops her body can pull calcium from her bones resulting in loss of bone density. Also includes 400 IU of vitamin D-3 to enhance calcium absorption. Conforms to USP <2091> for weight. Folic Acid; Provides 1000 mcg of folic acid critical during the earliest weeks of pregnancy when a baby’s organs are forming. Adequate intake of folic acid in a healthy diet before and during early pregnancy may reduce the risk of birth defects of the brain and spinal cord. Folic acid is also required for cell growth and DNA formation. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Iron to support increased blood volume Meets USP <2040> disintegration. Nutritional Support; Supplies a balanced nutritional blend combining vitamins minerals and antioxidants to supplement a healthy diet. Emerging research suggests that antioxidants can help protect the body from harmful free radicals that can destroy healthy cells. Please recycle this box.,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Calcium; Iron; Iodine; Magnesium; Zinc; Copper; Selenium; Manganese; Chromium; Molybdenum; Boron; Choline
Vitamin D-3 400,GNC,DSLD-1042,Immunity,3376361,2.1,ACTUAL SIZE Conforms to USP <2091> for weight. essential for calcium absorption and strong bones Lot No./Best By: Meets USP <2040> disintegration. Potency verified by GNC procedure #5004.,Vitamin D
B-12 5000 ZipMelt 5000 mcg Cherry Flavor,GNC,DSLD-1043,Immunity,3724868,1.8,ACTUAL SIZE Cherry Flavor Natural & Artificial Flavor Conforms to USP <2091> for weight. Essential for energy production Please recycle this box. Quick dissolving to facilitate absorption,Vitamin B12
Ultra Probiotic Complex 25,GNC,DSLD-1044,Gut Health,2125981,5.0,Clinically studied probiotic complex. Guaranteed 25 billion live and active cultures. Helps reduce bloating and stomach discomfort. Boost immune health. Made in the UK Please recycle this box. PROBIOTICS Ultra Probiotic Complex 25 has been tested to ensure delivery of the full 25 billion cultures are live and active when used by the expiration date. What are Probiotics? Probiotics work to keep a healthy balance of intestinal flora. They reduce the amount of harmful bacteria by replenishing and maintaining the “friendly” bacteria. The depletion of “good” bacteria can occur as a result of poor diet taking certain antibiotics stress food poisoning travelers’ diarrhea or poor overall digestive health. What is GNC Ultra Probiotic Complex 25? The cultures in Ultra Probiotic Complex 25 have been clinically shown to replenish healthy bacteria in the digestive tract. Each convenient packet provides 25 billion live and active cultures of Lactobacillus acidophilus and Bifidobacterium. Why take GNC Ultra Probiotic Complex 25? With the first dose Ultra Probiotic Complex 25 improves the balance of beneficial flora in the digestive tract. These probiotics help reduce bloating and stomach discomfort aid in improving regularity and support a healthy immune system.,Calories; LAB4 Probiotics; Lactobacillus acidophilus; Bifidobacterium bifidum; Bifidobacterium lactis; Fructooligosaccharides
Melatonin 5000 Zipmelt 5000 mcg Peppermint,GNC,DSLD-1045,Sleep & Relaxation,3055831,5.4,PEPPERMINT NATURAL FLAVOR Please recycle this box. Potency verified by GNC procedure #5008. Quick dissolving to facilitate absorption SPECIALTY Supports restful sleep.,Melatonin
Vitamin D-3 800,GNC,DSLD-1046,Immunity,1988772,5.3,ACTUAL SIZE Conforms to USP <2091> for weight. essentail for calcium absorption and strong bones Lot No./Best By: Meets USP <2040> disintegration. Potency verified by GNC procedure #5004.,Vitamin D
Calcium 600 with Vitamin D-3,GNC,DSLD-1047,Immunity,424272,7.9,Conforms to USP <2091> for weight. essential for building strong bones Meets USP <2040> disintegration. Potency of calcium verified by GNC procedure #4000.,Vitamin D; Calcium
Gentlesorb Iron 18 mg,GNC,DSLD-1048,Immunity,3563445,7.5,ACTUAL SIZE Clinically proven to be gentle on the stomach Conforms to USP <2091> for weight. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! Highly absorbable Iron is a vital nutrient that plays an essential role in forming healthy red blood cells and transporting oxygen. It is also involved in energy utilization and muscle function. Unfortunately many people who should be supplementing with iron do not due to concern of stomach distress. GNC Gentlesorb Iron(TM) features a bioavailable form of hydrolyzed protein chelate that is clinically proven to be gentle on the stomach. Gentlesorb Iron(TM) is a unique form that closely mimics the iron found in natural organic sources. This iron is bound to amino acids which function like a “cage” surrounding and protecting the mineral. Clinical studies have demonstrated that this form of iron is effectively absorbed and well-tolerated. Meets USP <2040> disintegration. Please recycle this box. Potency verified by GNC procedure #4000.,Iron
Fish Oil 1000,GNC,DSLD-1049,Immunity,898558,5.2,ACTUAL SIZE Conforms to USP <2091> for weight. Lemon Flavor Meets USP <2040> disintegration. Potency verified by GNC procedure #5123. Promotes brain skin eye and joint health Purified; Deodorized Supports healthy cholesterol and blood pressure levels This product is regularly tested (using AOAC international protocols) for potency and purity by an independent FDA-registered laboratory and found to be free of detectable levels of murcury cadmium lead and PCBs.,Calories; Calories from Fat; Total Fat; Cholesterol; Omega-3 Fatty Acids
Omega Complex,GNC Triple Strength,DSLD-1050,Immunity,4543486,8.9,A landmark study involving over 11000 participants has confirmed the major benefits of fish oil on cardiovascular health. The omega-3 fatty acids found in fish oil are necessary for heart health. They help support normal healthy cholesterol levels and are necessary in the maintenance of normal blood pressure. Individually EPA is important for circulatory system health and DHA provides support for healthy triglyceride levels. ACTUAL SIZE Conforms to USP <2091> for weight. Fish oils naturally provide the heart-healthy omega-3 fatty acids EPA (Eicosapentaenoic Acid) and DHA (Docosahexaenoic Acid). Each three softgel capsule serving features a total of 1605 mg of omega-3 6 and 9 fatty acids. ^The lemon flavor helps to control or reduce the fishy burps. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. GNC Triple Strength Omega Complex has been purified and manufactured for freshness and found to be free of detectable levels of mercury cadmium lead and PCBs. We use only the best quality ingredients derived from wild deep ocean fish. In addition to the numerous heart health benefits fish oil also:; Supports joint and skin health; Supports the body’s natural anti-inflammatory response; Supplies DHA which is required for optimal eye and brain function Lemon Flavor Meets USP <2040> disintegration. Please recycle this box. Promotes joint brain and skin health Purified; Controls fishy burps^ Supports a healthy heart,Calories; Calories from Fat; Total Fat; Eicosapentaenoic Acid; Alpha-Linolenic Acid; Docosahexaenoic Acid; Gamma-Linolenic Acid; Oleic Acid
Vitamin D-3 5000,GNC,DSLD-1051,Immunity,1218559,3.8,ACTUAL SIZE Conforms to USP <2091> for weight. essentail for calcium absorption and strong bones Lot No./Best By: Meets USP <2040> disintegration. Potency verified by GNC procedure #5004.,Vitamin D
Prostate Formula,GNC Men's,DSLD-1052,Immunity,3252766,5.4,ACTUAL SIZE Conforms to USP <2091> for weight. Dr. Frank J. Costa M.D. an internationally acclaimed urological surgeon and men’s healthy expert is part of the GNC Medical Advisory Board. One of “America’s Top Physicians” Dr. Costa lectures nationally and internationally on men’s health topics. Dr. Costa is regularly featured in television radio and newspaper interviews and has published articles in both professional journals and popular magazines.  “Many men come to me with prostate health concerns. In addition to a prostate examination I recommend saw palmetto for both prostate support and normal healthy urinary flow. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Meets USP <2040> disintegration. Please recycle this box.,Olive leaf extract; Copper; Saw Palmetto Berries Extact; Beta-Sitosterol; Pygeum africanum Bark Extract; Lycopene
Hair Skin & Nails Formula,GNC,DSLD-1053,Beauty From Within,2560172,5.2,ACTUAL SIZE Antioxidant Protection; Provides antioxidant nutrients that protect the body from harmful free radicals that promote the cell-aging process. Includes alpha-Lipoic acid which helps regenerate antioxidants. Antioxidants to fight cell aging Conforms to USP <2091> for weight. Gelatin and Amino Acids; Combines gelatin with the amino acids L-cysteine and L-methionine. Gelatin is a rich source of amino acids which are the building blocks of proteins. Proteins are needed for strong healthy nails and the growth and repair of tissue. Gelatin and amino acids for strong healthy nails GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. HAIR SKIN & NAILS FORMULA GNC Hair Skin & Nails Formula is a specialty nutritional formula scientifically designed to promote beauty from the inside out. Adequate intake of essential nutrients such as biotin lutein and amino acids along with important antioxidants helps support beautiful hair skin and nails. Lutein; Helps support skin hydration. Lutein is an important carotenoid antioxidant for healthy skin that helps protect cells from harmful free radicals. Lutein for healthy skin hydration Meets USP <2040> disintegration. Please recycle this box. Potencies verified by GNC procedure #5015. SUPPORTS BEAUTY FROM WITHIN,Vitamin A; Vitamin C; Vitamin D; Vitamin E; Thiamine; Riboflavin; Niacin; Folic Acid; Biotin; Pantothenic Acid; Calcium; Phosphorus; Zinc; L-Cysteine; MSM; hydrolyzed Gelatin; L-Methionine; Alpha-Lipoic Acid; DMAE; Green Tea leaf extract; Horsetail; Boron; Pantethine; Lutein
Phyto-Estrogen Formula,GNC,DSLD-1054,Immunity,3600816,1.3,ACTUAL SIZE Conforms to USP <2091> for weight. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Meets USP <2040> disintegration. Please recycle this box.,Calories; Calories from Fat; Total Fat; Vitamin B6; Vitamin B12; Calcium; Magnesium; Evening Primrose Oil; Black Cohosh Root Extract; Soy Isoflavone Extract; Isolase(R)
Phyto-Estrogen Formula,GNC Women's,DSLD-1055,Immunity,1458371,8.5,ACTUAL SIZE Conforms to USP <2091> for weight. GNC GUARANTEE Use any GNC supplement for as little as 10 days. If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Meets USP <2040> disintegration. Please recycle this box.,Calories; Calories from Fat; Total Fat; Vitamin B6; Vitamin B12; Calcium; Magnesium; Evening Primrose Oil; Black Cohosh Root Extract; Soy Isoflavone Extract; Isolase(R)
Fish Oil,GNC,DSLD-1056,Immunity,1074949,4.3,ACTUAL SIZE Conforms to USP <2091> for weight. Helps maintain brain skin eye and joint health Lot No./Best By: Made in China Meets USP <2040> disintegration. Potency verified by GNC procedure #5123. Purified Supports healthy cholesterol and blood pressure levels VALUE SIZE,Calories; Calories from Fat; Total Fat; Cholesterol; Total Omega-3 Fatty Acids
Fish Oil with Phytosterols,GNC,DSLD-1057,Immunity,1668810,4.1,The lemon flavor controls or reduces fishy burps. +Scientific research shows that 400 mg per serving of free phytosterols taken twice a day with meals for a daily total intake of at least 800 mg as part of a diet low in saturated fat and cholesterol may reduce the risk of heart disease. A daily serving of Fish Oil with Phytosterols supplies 800 mg of free phytosterols 647 mg of EPA and 253 mg of DHA. Lemon Flavored May reduce the risk of heart disease+ Purified; Controls fishy burps^,Calories; Calories from Fat; Total Fat; Phytosterols; Eicosapentaenoic Acid; Docosahexaenoic Acid
Comfort Your Back,GNC,DSLD-1058,Immunity,2659168,2.2,ACTUAL SIZE GNC GUARANTEE If you are not 100% completely satisfied return the unused portion of the product with proof of purchase to your GNC store for a complete refund of your purchase price. No questions asked! GNC QUALITY COMMITMENT GNC the leader in the development and manufacture of dietary supplements is committed to producing the highest quality products available. This commitment begins with quality designed supplement formulations. Every raw material that goes into a GNC supplement is guaranteed as to quality and potency. Each product is dated and then shipped immediately to our stores so you can be sure you are purchasing the freshest supplements available. At GNC we extend out quality commitment to you by offering our money-back guarantee. Natural salicin-based comfort formula. One Week Supply Please recycle this box. Supports back comfort.,White Willow Bark Extract
Maximum CLA,GNC Pro Performance,DSLD-1059,Energy & Performance,483977,9.6,BOOSTS METABOLISM AND INCREASES ENERGY CLINICALLY RESEARCHED,Calories; Calories from Fat; Total Fat; Niacin; Conjugated Linoleic Acid; Thermogenic Blend; Red Pepper extract; Black Pepper extract; Caffeine Anhydrous; Cinnamon bark extract
